Time	Position
0.354	1.90042
0.355	1.89821
0.356	1.89592
0.357	1.89355
0.358	1.89109
0.359	1.88855
0.36	1.88594
0.361	1.88324
0.362	1.88047
0.363	1.87761
0.364	1.87469
0.365	1.87168
0.366	1.8686
0.367	1.86545
0.368	1.86223
0.369	1.85893
0.37	1.85556
0.371	1.85213
0.372	1.84862
0.373	1.84505
0.374	1.84141
0.375	1.8377
0.376	1.83393
0.377	1.8301
0.378	1.82621
0.379	1.82225
0.38	1.81823
0.381	1.81415
0.382	1.81002
0.383	1.80583
0.384	1.80158
0.385	1.79727
0.386	1.79291
0.387	1.7885
0.388	1.78403
0.389	1.77952
0.39	1.77495
0.391	1.77033
0.392	1.76567
0.393	1.76095
0.394	1.75619
0.395	1.75138
0.396	1.74653
0.397	1.74164
0.398	1.7367
0.399	1.73171
0.4	1.72669
0.401	1.72162
0.402	1.71652
0.403	1.71138
0.404	1.70619
0.405	1.70097
0.406	1.69572
0.407	1.69042
0.408	1.68509
0.409	1.67973
0.41	1.67433
0.411	1.6689
0.412	1.66344
0.413	1.65794
0.414	1.65242
0.415	1.64686
0.416	1.64127
0.417	1.63566
0.418	1.63001
0.419	1.62434
0.42	1.61864
0.421	1.61292
0.422	1.60716
0.423	1.60139
0.424	1.59558
0.425	1.58976
0.426	1.5839
0.427	1.57803
0.428	1.57213
0.429	1.56621
0.43	1.56027
0.431	1.5543
0.432	1.54832
0.433	1.54231
0.434	1.53629
0.435	1.53024
0.436	1.52418
0.437	1.5181
0.438	1.51199
0.439	1.50587
0.44	1.49974
0.441	1.49358
0.442	1.48741
0.443	1.48122
0.444	1.47502
0.445	1.4688
0.446	1.46256
0.447	1.45631
0.448	1.45005
0.449	1.44377
0.45	1.43748
0.451	1.43117
0.452	1.42485
0.453	1.41851
0.454	1.41217
0.455	1.40581
0.456	1.39943
0.457	1.39305
0.458	1.38665
0.459	1.38025
0.46	1.37383
0.461	1.3674
0.462	1.36096
0.463	1.35451
0.464	1.34804
0.465	1.34157
0.466	1.33509
0.467	1.3286
0.468	1.3221
0.469	1.31558
0.47	1.30906
0.471	1.30254
0.472	1.296
0.473	1.28945
0.474	1.2829
0.475	1.27633
0.476	1.26976
0.477	1.26318
0.478	1.2566
0.479	1.25
0.48	1.2434
0.481	1.23679
0.482	1.23017
0.483	1.22355
0.484	1.21692
0.485	1.21028
0.486	1.20364
0.487	1.19699
0.488	1.19033
0.489	1.18367
0.49	1.177
0.491	1.17033
0.492	1.16364
0.493	1.15696
0.494	1.15027
0.495	1.14357
0.496	1.13687
0.497	1.13016
0.498	1.12344
0.499	1.11672
0.5	1.11
0.501	1.10327
0.502	1.09654
0.503	1.0898
0.504	1.08306
0.505	1.07631
0.506	1.06956
0.507	1.0628
0.508	1.05604
0.509	1.04927
0.51	1.0425
0.511	1.03573
0.512	1.02895
0.513	1.02217
0.514	1.01539
0.515	1.0086
0.516	1.0018
0.517	0.995007
0.518	0.988206
0.519	0.981402
0.52	0.974595
0.521	0.967784
0.522	0.960969
0.523	0.954151
0.524	0.94733
0.525	0.940506
0.526	0.933678
0.527	0.926848
0.528	0.920014
0.529	0.913177
0.53	0.906337
0.531	0.899494
0.532	0.892649
0.533	0.8858
0.534	0.878949
0.535	0.872095
0.536	0.865238
0.537	0.858378
0.538	0.851516
0.539	0.844651
0.54	0.837784
0.541	0.830914
0.542	0.824042
0.543	0.817167
0.544	0.81029
0.545	0.80341
0.546	0.796528
0.547	0.789644
0.548	0.782758
0.549	0.775869
0.55	0.768978
0.551	0.762085
0.552	0.75519
0.553	0.748293
0.554	0.741393
0.555	0.734492
0.556	0.727588
0.557	0.720683
0.558	0.713775
0.559	0.706866
0.56	0.699955
0.561	0.693041
0.562	0.686126
0.563	0.679209
0.564	0.672291
0.565	0.66537
0.566	0.658448
0.567	0.651524
0.568	0.644599
0.569	0.637671
0.57	0.630742
0.571	0.623812
0.572	0.61688
0.573	0.609946
0.574	0.60301
0.575	0.596074
0.576	0.589135
0.577	0.582195
0.578	0.575254
0.579	0.568311
0.58	0.561367
0.581	0.554421
0.582	0.547474
0.583	0.540526
